gene_id	set_label	score
PF3D7_0504900	rest	5.562565995
PF3D7_0708100	rest	5.542478026
PF3D7_0802000	rest	5.542053631
PF3D7_0922000	rest	5.537156154
PF3D7_0810600	rest	5.524589403
PF3D7_1203500	rest	5.491311262
PF3D7_0521700	rest	5.477555383
PF3D7_1341300	rest	5.469010537
PF3D7_0529500	rest	5.450658397
PF3D7_0517600	rest	5.418539229
PF3D7_0720000	rest	5.418539229
PF3D7_1144600	rest	5.418539229
PF3D7_1330500	rest	5.418539229
PF3D7_1410100	rest	5.418539229
PF3D7_1137700	rest	5.405618002
PF3D7_1014700	rest	5.387787486
PF3D7_1425200	rest	5.387175058
PF3D7_0512900	rest	5.378738221
PF3D7_0806200	rest	5.378738221
PF3D7_1404100	rest	5.342681529
PF3D7_1369400	rest	5.33059153
PF3D7_0316700	rest	5.263487876
PF3D7_0708300	rest	5.248736693
PF3D7_0505900	rest	5.242071775
PF3D7_1112900	rest	5.238560563
PF3D7_0303100	rest	5.197447464
PF3D7_1248600	rest	5.194554722
PF3D7_1112500	rest	5.183641664
PF3D7_0913200	rest	5.176092123
PF3D7_1136400	rest	5.164662843
PF3D7_1004500	rest	5.159972758
PF3D7_1143400	rest	5.143387958
PF3D7_1023700	rest	5.08655747
PF3D7_0214000	rest	5.080963551
PF3D7_1238400	rest	5.070615926
PF3D7_0826500	rest	5.065742814
PF3D7_0719700	rest	5.042283083
PF3D7_0903700	rest	5.042283083
PF3D7_1462800	rest	5.042283083
PF3D7_1014300	rest	5.039251755
PF3D7_1021900	rest	5.032356646
